feature,importance
speeding_incidents_per_100mi,5.0854692
smooth_driving_score,4.7283626
rapid_accel_per_100mi,4.341426
harsh_braking_per_100mi,1.1907549
max_speed_recorded,0.47965407
phone_usage_trip_pct,0.21071486
night_driving_pct,0.11961603
late_night_driving_pct,0.0835053
weekend_driving_pct,0.04123006
speed_variance,0.039664816
harsh_corner_per_100mi,0.038555577
total_trips,0.033317875
years_licensed,0.03270851
avg_trip_distance_miles,0.030814921
avg_trip_duration_min,0.027319945
vehicle_age,0.024682218
avg_speed_overall,0.02270035
age,0.02178099
trip_consistency_score,0.019392595
rush_hour_pct,0.019195907
total_miles,0.014009173
vehicle_safety_rating,0.0137063805
